step,portfolio_value,price,position,balance,shares,reward,action
53,100157.03700487001,234.91,매도,46022.56779787002,230.4477,-0.020538273785645638,-1.9013228
54,100142.24508787002,234.84,매도,50517.476683870016,211.3131,-0.007384362318583652,-1.9134616
55,100073.91876376001,234.5001,매도,52934.96661187002,201.0189,-0.034114635661530064,-1.0294243
56,100015.05552922002,234.2,매도,54077.80284922002,196.1454,-0.02940987785186681,-0.4873589
57,100039.79477722001,234.32,매수,51732.28984922002,206.16039999999998,0.012367761967982071,1.0015031
58,100069.49971122,234.46,매수,50322.22238522002,212.17809999999997,0.014846558844979778,0.6017758
59,100082.72384922001,234.52,매수,48393.97645322002,220.40229999999997,0.006607476822691821,0.8224281
60,100060.36348922,234.42,매수,47643.20757722002,223.60359999999997,-0.011170938969293602,0.3201341
61,100081.22299622002,234.51,매수,45728.30092322002,231.77229999999997,0.010423461534927804,0.8168732
62,100134.46884822001,234.73,매수,43323.56503022002,242.02659999999997,0.02660131961117411,1.0254397
63,100169.44636422001,234.87,매수,41489.66648622002,249.83939999999998,0.017465272649029872,0.7812813
64,100138.54983222001,234.75,매수,39697.20910722002,257.4711,-0.015422133755066313,0.76317215
65,100114.82690322002,234.66,매수,38261.24335722002,263.5881,-0.011845053198664843,0.6117054
66,100156.35564129002,234.8163,매수,37765.923029220015,265.6989,0.020740553299936425,0.21108715
67,100122.19512873,234.69,매수,36645.309200730015,270.47119999999995,-0.017053592026832515,0.4772385
68,100124.93679273,234.7,매수,35778.082712730014,274.16639999999995,0.0013691589544536059,0.36952955
69,100052.55427473,234.44,매수,34785.794582730014,278.39429999999993,-0.036146099222933124,0.4227968
70,100058.20506273,234.46,매수,33814.01733873002,282.53939999999994,0.002823909914624846,0.4145121
71,100043.76841773001,234.41,매수,32361.889328730016,288.7329,-0.007214123514879902,0.61935973
72,100121.45822973001,234.672,매수,30535.108757730017,296.52599999999995,0.03882791163743714,0.7793116
73,100217.12732133002,234.99,매수,29521.278783330017,300.84619999999995,0.047776517287879475,0.4320281
74,100146.99995333001,234.76,매수,28568.300337330016,304.9016,-0.03498771610921816,0.4055408
75,100086.56567033002,234.565,매수,27390.321609330014,309.9194,-0.03017278751643001,0.50178266
76,100053.63609533002,234.46,매수,26523.463195330016,313.615,-0.016450546973740193,0.36956653
77,100227.15418733003,235.0,매수,24714.651187330015,321.32980000000003,0.0867125367811155,0.77148426
78,100391.67026206003,235.5101,매수,24435.588687330015,322.51730000000003,0.08207160827020316,0.11875349
79,100515.89007803003,235.89,매수,23384.507111030016,326.98030000000006,0.06186759102908894,0.44630334
80,100462.69609403003,235.73,매수,22091.334542030017,332.46240000000006,-0.02646048498337103,0.5482136
81,100444.26468103004,235.675,매수,21465.659976030016,335.11660000000006,-0.009173262174223946,0.26542062
82,100239.70093153002,235.07,매수,20757.385898530018,338.12190000000004,-0.10182948232515955,0.30053312
83,100215.94440153003,235.0,매수,20461.87940153002,339.379,-0.011849860773340666,0.12571502
84,100222.85485153004,235.02,매수,19018.15690153002,345.52250000000004,0.0034477797127384106,0.6143536
85,100226.33335853003,235.03,매수,18470.98333753002,347.8507,0.0017353861078621175,0.23282014
86,100215.83956253002,235.0,매수,18014.43756253002,349.7932,-0.0052350493370196954,0.1942539
87,100343.62195453001,235.355,매수,15627.49556253002,359.9504,0.06375359052910166,1.0157273
88,100305.34204153004,235.25,매수,14540.10839153002,364.5706,-0.019074412630492314,0.46202156
89,100414.00484903003,235.545,매수,13651.35741653002,368.3485,0.054166012142703,0.377792
90,100355.72579838002,235.3885,매수,12699.37874453002,372.3901,-0.029019383669451008,0.40416113
91,100374.97471133003,235.44,매수,12375.67247933002,373.7653,0.009590341157351995,0.13752928
92,100287.28723433003,235.21,매수,10613.49825533002,381.2499,-0.043679949734573426,0.74846953
93,100298.85044033002,235.24,매수,9627.897792330019,385.4402,0.005765040773798767,0.41903985
94,100447.47476033002,235.624,매수,9250.972740330018,387.0425,0.07409073949876549,0.16023283
95,100410.87462893003,235.53,매수,8704.183685930018,389.36310000000003,-0.01821854232140553,0.23206575
96,100406.97040093003,235.52,매수,8454.592544930018,390.42280000000005,-0.001944126079185923,0.10597688
97,100328.36420093002,235.32,매수,7840.309280930018,393.03100000000006,-0.03914379633512036,0.26082113
98,100221.59324093003,235.05,매수,7271.540840930018,395.44800000000004,-0.053210754929763245,0.24170373
99,100273.66620993002,235.18,매수,6069.659675930018,400.5613,0.02597891697590766,0.51133525
100,100310.27880393002,235.27,매수,4600.890021930018,406.8066,0.01825633557835343,0.62453824
101,100239.71508493001,235.1,매수,2654.2425149300175,415.0807,-0.03517272598650573,0.8274196
102,100218.70349993002,235.05,매수,1443.2424149300175,420.2317,-0.010480668755983184,0.5151074
103,100197.59567493001,235.0,매수,990.8181749300174,422.1565,-0.01053088109447975,0.1924864
104,100165.61772243002,234.925,매수,0.011174930017546103,426.3727,-0.015957445028788955,0.62587047
105,100197.42512585002,234.9996,매수,0.011174930017546103,426.3727,0.015877405911945797,0.2915631
106,100287.13394193002,235.21,매수,0.011174930017546103,426.3727,0.04476602865159898,1.1989292
107,100245.05095644001,235.1113,매수,0.011174930017546103,426.3727,-0.020981248459236643,0.5405072
108,100282.87021493001,235.2,매수,0.011174930017546103,426.3727,0.01886340429236205,0.42952433
109,100363.88102793001,235.39,매수,0.011174930017546103,426.3727,0.04039115196163381,0.41061202
110,100397.99084393002,235.47,매수,0.011174930017546103,426.3727,0.016993073429732514,0.6930694
111,100376.67220893,235.42,매수,0.011174930017546103,426.3727,-0.010617062563113396,0.39164177
112,100407.93710238002,235.4935,매도,235.43117493001753,425.3727,0.015573784606517406,-0.09332664
113,100423.42670593002,235.53,매도,470.92467493001755,424.3727,0.007713336214748088,-0.06750643
114,100409.86753709002,235.4978,매도,1243.5808399300176,421.0922,-0.006750998887792947,-0.32805496
115,100461.44720393002,235.62,매수,1008.0830399300177,422.0922,0.025684560743468282,0.038168572
116,100516.57501693,235.75,매수,544.4064419300176,424.0601,0.027437297856200908,0.19679594
117,100588.83523393,235.92,매수,308.65644193001765,425.0601,0.03594442856207146,0.0354942
118,100487.06080993,235.68,매도,544.5764419300176,424.0601,-0.05058932423430279,-0.05235183
119,100380.79578493001,235.43,매수,308.8964419300176,425.0601,-0.05287497919806063,0.08835934
120,100508.63787493,235.73,매수,54.58495593001757,426.14029999999997,0.06367855972864468,0.10802492
121,100568.32992693,235.87,매수,0.013460930017572537,426.37179999999995,0.02969498605397356,0.23133206
122,100614.80445313001,235.979,매수,0.013460930017572537,426.37179999999995,0.023105945099105244,0.109517455
