symbol,timestamp,open,high,low,close,volume
NEM,2025-05-15 14:23:00+00:00,48.985,49.01,48.96,49.01,1011.0
FCX,2025-05-15 14:23:00+00:00,37.995,37.995,37.975,37.985,1526.0
T,2025-05-15 14:23:00+00:00,27.095,27.095,27.065,27.08,4058.0
WBD,2025-05-15 14:23:00+00:00,9.125,9.13,9.12,9.12,6447.0
TSLA,2025-05-15 14:23:00+00:00,340.09,340.25,339.97,340.0,1639.0
AMZN,2025-05-15 14:23:00+00:00,205.1,205.44,205.1,205.41,2029.0
NKE,2025-05-15 14:23:00+00:00,62.0,62.025,61.985,61.99,2400.0
PEP,2025-05-15 14:23:00+00:00,129.82,129.855,129.82,129.83,664.0
KVUE,2025-05-15 14:23:00+00:00,23.915,23.92,23.885,23.91,8072.0
PM,2025-05-15 14:23:00+00:00,168.02,168.035,168.02,168.035,535.0
KMI,2025-05-15 14:23:00+00:00,27.745,27.75,27.745,27.745,507.0
ITUB,2025-05-15 14:23:00+00:00,6.675,6.675,6.665,6.665,26787.0
MUFG,2025-05-15 14:23:00+00:00,13.295,13.295,13.295,13.295,1142.0
AZN,2025-05-15 14:23:00+00:00,67.2,67.2,67.13,67.13,862.0
ABT,2025-05-15 14:23:00+00:00,132.065,132.065,131.98,132.02,2090.0
UNH,2025-05-15 14:23:00+00:00,257.0,257.15,255.17,255.43,7957.0
CSX,2025-05-15 14:23:00+00:00,30.975,30.975,30.96,30.96,1382.0
BA,2025-05-15 14:23:00+00:00,207.42,207.42,207.42,207.42,201.0
RTX,2025-05-15 14:23:00+00:00,133.0,133.1,132.97,133.1,1416.0
NVDA,2025-05-15 14:23:00+00:00,133.725,133.82,133.725,133.795,2078.0
YMM,2025-05-15 14:23:00+00:00,12.485,12.49,12.485,12.49,200.0
NEE,2025-05-15 14:23:00+00:00,73.84,73.87,73.8,73.84,2141.0
AAPL,2025-05-15 14:23:00+00:00,210.175,210.355,210.17,210.32,2259.0
