symbol,timestamp,open,high,low,close,volume
VALE,2025-05-15 17:29:00+00:00,9.85,9.85,9.85,9.85,515.0
NEM,2025-05-15 17:29:00+00:00,49.44,49.445,49.42,49.425,1893.0
FCX,2025-05-15 17:29:00+00:00,38.49,38.49,38.44,38.455,2192.0
T,2025-05-15 17:29:00+00:00,27.17,27.17,27.155,27.16,6466.0
NFLX,2025-05-15 16:27:00+00:00,1172.8,1172.8,1172.8,1172.8,134.0
WBD,2025-05-15 16:27:00+00:00,9.185,9.185,9.18,9.18,307.0
TSLA,2025-05-15 17:29:00+00:00,345.42,345.43,345.37,345.43,566.0
AMZN,2025-05-15 17:29:00+00:00,205.54,205.555,205.51,205.52,560.0
NKE,2025-05-15 16:27:00+00:00,62.465,62.465,62.435,62.435,905.0
PEP,2025-05-15 17:29:00+00:00,130.96,130.96,130.96,130.96,288.0
KVUE,2025-05-15 17:29:00+00:00,23.685,23.69,23.685,23.69,806.0
PM,2025-05-15 17:29:00+00:00,168.62,168.62,168.62,168.62,109.0
PBR,2025-05-15 17:29:00+00:00,12.06,12.06,12.05,12.05,2849.0
KMI,2025-05-15 17:29:00+00:00,27.94,27.945,27.94,27.94,1463.0
SHEL,2025-05-15 17:29:00+00:00,67.06,67.065,67.06,67.065,258.0
ITUB,2025-05-15 17:29:00+00:00,6.635,6.635,6.635,6.635,31300.0
USB,2025-05-15 17:29:00+00:00,44.43,44.43,44.42,44.43,1027.0
MUFG,2025-05-15 17:29:00+00:00,13.42,13.42,13.42,13.42,3122.0
AZN,2025-05-15 17:29:00+00:00,67.765,67.77,67.765,67.77,338.0
ABT,2025-05-15 17:29:00+00:00,132.68,132.68,132.68,132.68,295.0
UNH,2025-05-15 17:29:00+00:00,266.36,266.925,266.36,266.925,5867.0
CSX,2025-05-15 17:29:00+00:00,31.35,31.36,31.35,31.36,417.0
BA,2025-05-15 17:29:00+00:00,206.33,206.33,206.33,206.33,740.0
RTX,2025-05-15 17:29:00+00:00,134.145,134.145,134.145,134.145,244.0
NVDA,2025-05-15 17:29:00+00:00,136.255,136.255,136.195,136.205,1870.0
ERIC,2025-05-15 15:25:00+00:00,8.48,8.48,8.48,8.48,23858.0
YMM,2025-05-15 17:29:00+00:00,12.5,12.5,12.49,12.49,1389.0
NEE,2025-05-15 17:29:00+00:00,74.1,74.1,74.1,74.1,761.0
AAPL,2025-05-15 17:29:00+00:00,212.24,212.24,212.22,212.22,372.0
