symbol,timestamp,open,high,low,close,volume
VALE,2025-05-15 18:31:00+00:00,9.78,9.78,9.78,9.78,300.0
NEM,2025-05-15 19:33:00+00:00,49.58,49.6,49.58,49.595,1738.0
FCX,2025-05-15 19:33:00+00:00,38.31,38.315,38.305,38.315,2631.0
T,2025-05-15 19:33:00+00:00,27.37,27.375,27.37,27.37,3878.0
NFLX,2025-05-15 18:31:00+00:00,1180.24,1180.24,1180.24,1180.24,204.0
WBD,2025-05-15 19:33:00+00:00,9.185,9.185,9.18,9.18,27853.0
TSLA,2025-05-15 19:33:00+00:00,340.82,341.24,340.82,341.17,1058.0
AMZN,2025-05-15 19:33:00+00:00,204.46,204.52,204.415,204.43,2287.0
NKE,2025-05-15 19:33:00+00:00,62.3,62.33,62.3,62.33,716.0
PEP,2025-05-15 19:33:00+00:00,131.11,131.11,131.11,131.11,286.0
KVUE,2025-05-15 19:33:00+00:00,23.835,23.84,23.835,23.84,2853.0
PM,2025-05-15 19:33:00+00:00,169.485,169.51,169.45,169.45,1547.0
PBR,2025-05-15 17:29:00+00:00,12.06,12.06,12.05,12.05,2849.0
KMI,2025-05-15 19:33:00+00:00,27.975,27.975,27.975,27.975,425.0
SHEL,2025-05-15 19:33:00+00:00,67.32,67.32,67.32,67.32,164.0
ITUB,2025-05-15 18:31:00+00:00,6.61,6.61,6.61,6.61,600.0
USB,2025-05-15 19:33:00+00:00,44.64,44.645,44.64,44.64,703.0
MUFG,2025-05-15 18:31:00+00:00,13.475,13.475,13.475,13.475,200.0
AZN,2025-05-15 19:33:00+00:00,67.83,67.83,67.83,67.83,302.0
ABT,2025-05-15 19:33:00+00:00,133.31,133.32,133.29,133.31,972.0
UNH,2025-05-15 19:33:00+00:00,270.93,271.89,270.875,271.86,6445.0
CSX,2025-05-15 19:33:00+00:00,31.235,31.24,31.235,31.24,840.0
BA,2025-05-15 19:33:00+00:00,206.19,206.2,206.15,206.2,958.0
RTX,2025-05-15 19:33:00+00:00,135.08,135.08,135.08,135.08,143.0
NVDA,2025-05-15 19:33:00+00:00,134.115,134.17,134.09,134.17,28843.0
ERIC,2025-05-15 19:33:00+00:00,8.455,8.455,8.455,8.455,102.0
YMM,2025-05-15 18:31:00+00:00,12.49,12.49,12.49,12.49,100.0
NEE,2025-05-15 19:33:00+00:00,74.61,74.65,74.565,74.58,4147.0
AAPL,2025-05-15 19:33:00+00:00,210.56,210.64,210.56,210.58,2442.0
