symbol,timestamp,open,high,low,close,volume
VALE,2025-05-15 16:27:00+00:00,9.87,9.87,9.87,9.87,101.0
NEM,2025-05-15 16:27:00+00:00,48.96,48.96,48.96,48.96,115.0
FCX,2025-05-15 16:27:00+00:00,38.34,38.34,38.32,38.32,686.0
T,2025-05-15 16:27:00+00:00,27.145,27.145,27.135,27.14,2612.0
NFLX,2025-05-15 16:27:00+00:00,1172.8,1172.8,1172.8,1172.8,134.0
WBD,2025-05-15 16:27:00+00:00,9.185,9.185,9.18,9.18,307.0
TSLA,2025-05-15 16:27:00+00:00,342.175,342.265,341.89,342.17,1437.0
AMZN,2025-05-15 16:27:00+00:00,205.035,205.075,204.91,204.91,1450.0
NKE,2025-05-15 16:27:00+00:00,62.465,62.465,62.435,62.435,905.0
PEP,2025-05-15 16:27:00+00:00,130.995,131.0,130.93,130.93,2909.0
KVUE,2025-05-15 16:27:00+00:00,23.67,23.67,23.67,23.67,1181.0
PM,2025-05-15 16:27:00+00:00,168.28,168.28,168.28,168.28,100.0
PBR,2025-05-15 16:27:00+00:00,12.095,12.095,12.095,12.095,40865.0
KMI,2025-05-15 16:27:00+00:00,27.83,27.83,27.83,27.83,110.0
ITUB,2025-05-15 16:27:00+00:00,6.675,6.675,6.675,6.675,600.0
USB,2025-05-15 16:27:00+00:00,44.38,44.385,44.36,44.36,822.0
MUFG,2025-05-15 16:27:00+00:00,13.39,13.39,13.38,13.38,1611.0
AZN,2025-05-15 16:27:00+00:00,67.61,67.61,67.555,67.555,816.0
ABT,2025-05-15 16:27:00+00:00,132.105,132.11,132.06,132.105,1499.0
UNH,2025-05-15 16:27:00+00:00,261.98,262.07,261.3,261.61,22167.0
CSX,2025-05-15 16:27:00+00:00,31.22,31.22,31.21,31.21,2379.0
BA,2025-05-15 16:27:00+00:00,207.6,207.6,207.555,207.555,400.0
RTX,2025-05-15 16:27:00+00:00,133.765,133.765,133.715,133.715,301.0
NVDA,2025-05-15 16:27:00+00:00,134.945,134.965,134.87,134.915,2279.0
ERIC,2025-05-15 15:25:00+00:00,8.48,8.48,8.48,8.48,23858.0
YMM,2025-05-15 16:27:00+00:00,12.49,12.49,12.49,12.49,100.0
NEE,2025-05-15 16:27:00+00:00,73.91,73.91,73.9,73.9,982.0
AAPL,2025-05-15 16:27:00+00:00,211.535,211.535,211.47,211.49,1515.0
