symbol,timestamp,open,high,low,close,volume
VALE,2025-05-15 18:31:00+00:00,9.78,9.78,9.78,9.78,300.0
NEM,2025-05-15 18:31:00+00:00,49.52,49.53,49.52,49.52,2552.0
FCX,2025-05-15 18:31:00+00:00,38.365,38.37,38.365,38.37,446.0
T,2025-05-15 18:31:00+00:00,27.195,27.205,27.19,27.205,5043.0
NFLX,2025-05-15 18:31:00+00:00,1180.24,1180.24,1180.24,1180.24,204.0
WBD,2025-05-15 18:31:00+00:00,9.19,9.2,9.19,9.195,1057.0
TSLA,2025-05-15 18:31:00+00:00,343.61,343.75,343.61,343.7,970.0
AMZN,2025-05-15 18:31:00+00:00,205.03,205.14,204.995,205.08,5716.0
NKE,2025-05-15 18:31:00+00:00,62.17,62.2,62.17,62.2,426.0
PEP,2025-05-15 18:31:00+00:00,130.415,130.53,130.415,130.53,574.0
KVUE,2025-05-15 18:31:00+00:00,23.695,23.7,23.695,23.695,6292.0
PM,2025-05-15 18:31:00+00:00,168.68,168.68,168.68,168.68,280.0
PBR,2025-05-15 17:29:00+00:00,12.06,12.06,12.05,12.05,2849.0
KMI,2025-05-15 18:31:00+00:00,28.025,28.025,27.995,28.005,2627.0
SHEL,2025-05-15 17:29:00+00:00,67.06,67.065,67.06,67.065,258.0
ITUB,2025-05-15 18:31:00+00:00,6.61,6.61,6.61,6.61,600.0
USB,2025-05-15 18:31:00+00:00,44.52,44.53,44.52,44.53,542.0
MUFG,2025-05-15 18:31:00+00:00,13.475,13.475,13.475,13.475,200.0
AZN,2025-05-15 18:31:00+00:00,67.76,67.79,67.76,67.79,427.0
ABT,2025-05-15 18:31:00+00:00,132.94,132.94,132.94,132.94,663.0
UNH,2025-05-15 18:31:00+00:00,268.42,268.59,268.14,268.22,4971.0
CSX,2025-05-15 18:31:00+00:00,31.21,31.21,31.21,31.21,1014.0
BA,2025-05-15 18:31:00+00:00,206.625,206.72,206.625,206.72,675.0
RTX,2025-05-15 18:31:00+00:00,134.42,134.47,134.41,134.47,1037.0
NVDA,2025-05-15 18:31:00+00:00,135.49,135.565,135.475,135.5,4479.0
ERIC,2025-05-15 18:31:00+00:00,8.47,8.475,8.47,8.475,13496.0
YMM,2025-05-15 18:31:00+00:00,12.49,12.49,12.49,12.49,100.0
NEE,2025-05-15 18:31:00+00:00,74.29,74.29,74.28,74.29,862.0
AAPL,2025-05-15 18:31:00+00:00,210.9,211.01,210.84,210.97,2451.0
