2025-05-20 12:08:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:09:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:10:33 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:11:33 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:13:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:14:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:16:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:17:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:18:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:20:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:21:33 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:23:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:24:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:25:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:26:33 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:28:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:29:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:31:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:32:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:33:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:35:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:36:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:37:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:39:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:40:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:41:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:43:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:44:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:45:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:46:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:48:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:49:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:50:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:51:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:53:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:54:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:55:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:57:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:58:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 12:59:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:01:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:02:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:03:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:04:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:05:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:06:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:08:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:09:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:10:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:11:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:12:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:14:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:15:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:16:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:18:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:19:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:20:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:21:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:23:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:24:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:25:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:26:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:28:27 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:29:59 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:31:03 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:32:13 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:33:13 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
2025-05-20 13:33:58 [INFO] 트레이딩 통계 로드 완료: C:\final_project\results\live_trading\trading_stats_20240511.json
